Student_ID,Gender,Age,District,School_Type,Study_Hours_per_Week,Attendance,Parent_Education,Family_Income_BDT,Internet_Access,Private_Tuition,Previous_GPA,SSC_Result,HSC_Result
161,Male,18,Khulna,Private,19,70,Secondary,47422,No,No,4.71,3.76,2.77
162,Male,15,Khulna,Public,19,92,Higher Secondary,38635,No,No,4.63,4.94,3.85
163,Female,16,Sylhet,Private,20,97,Graduate,31684,No,No,3.9,3.76,3.65
164,Female,16,Rajshahi,Public,18,86,Primary,33238,No,Yes,3.98,3.77,2.39
165,Female,15,Barisal,Public,12,93,Graduate,31889,No,No,3.44,4.87,3.26
166,Male,16,Rangpur,Public,22,74,Primary,40313,Yes,No,3.16,4.2,3.12
167,Female,15,Mymensingh,Private,14,91,Primary,42535,Yes,Yes,4.15,3.59,2.64
168,Male,16,Rangpur,Public,24,80,Graduate,58899,No,No,3.2,4.4,3.11
169,Male,17,Barisal,Private,10,64,Graduate,20770,Yes,Yes,3.9,4.4,2.46
170,Female,17,Mymensingh,Private,16,65,Primary,49321,Yes,No,4.88,3.6,2.73
171,Female,18,Sylhet,Public,6,97,Secondary,30426,No,Yes,4.91,4.96,3.36
172,Male,17,Barisal,Public,11,81,Secondary,54327,No,No,3.48,4.32,2.85
173,Male,17,Khulna,Public,20,77,Graduate,51777,Yes,No,4.25,4.34,3.18
174,Female,17,Chattogram,Private,7,73,Higher Secondary,56250,No,No,3.95,4.28,3.16
175,Female,15,Dhaka,Public,17,69,Secondary,17498,Yes,No,4.75,4.42,3.01
176,Female,17,Rangpur,Private,7,72,Graduate,49404,Yes,No,3.54,3.9,2.46
177,Male,17,Rajshahi,Private,22,90,Secondary,50130,No,Yes,3.01,3.93,3.03
178,Male,18,Rajshahi,Public,15,89,Higher Secondary,26395,Yes,Yes,3.33,4.27,3.03
179,Male,17,Sylhet,Public,12,62,Graduate,59346,Yes,No,3.7,4.71,2.43
180,Male,17,Mymensingh,Public,10,89,Higher Secondary,12537,Yes,No,3.63,3.57,2.82
181,Male,16,Rajshahi,Public,5,65,Graduate,29226,No,No,4.58,4.41,2.87
182,Male,18,Khulna,Public,5,88,Higher Secondary,25216,No,Yes,4.36,4.71,3.38
183,Female,18,Rangpur,Public,27,67,Secondary,28613,No,Yes,3.6,3.74,2.86
184,Male,18,Barisal,Private,12,92,Secondary,13009,No,No,3.92,3.52,3.17
185,Male,18,Khulna,Private,9,76,Higher Secondary,34368,Yes,Yes,3.19,3.97,2.49
186,Male,18,Sylhet,Private,20,70,Higher Secondary,39327,No,No,4.8,4.38,2.75
187,Female,18,Khulna,Public,15,72,Higher Secondary,24209,No,No,4.87,3.71,2.61
188,Male,15,Barisal,Private,9,70,Graduate,58443,No,No,4.96,4.14,3.44
189,Male,17,Chattogram,Private,8,90,Secondary,25029,No,Yes,4.74,4.33,3.22
190,Female,18,Sylhet,Private,10,87,Graduate,12077,Yes,No,3.35,4.4,3.19
191,Male,17,Chattogram,Private,18,65,Secondary,23907,Yes,No,3.09,3.91,2.55
192,Male,17,Dhaka,Private,26,75,Primary,46635,Yes,No,4.16,4.1,2.91
193,Male,15,Chattogram,Public,23,63,Graduate,58920,No,Yes,4.83,4.67,3.9
194,Male,18,Dhaka,Public,13,94,Secondary,14873,No,Yes,3.35,4.91,2.82
195,Male,16,Dhaka,Private,16,85,Secondary,18635,Yes,Yes,3.01,4.79,2.18
196,Female,15,Chattogram,Private,15,71,Graduate,43065,No,No,4.61,4.35,3.96
197,Female,16,Sylhet,Private,18,70,Graduate,55863,No,Yes,3.15,4.12,2
198,Female,17,Mymensingh,Public,27,96,Secondary,51804,Yes,No,3.83,4,3.4
199,Male,17,Barisal,Public,20,84,Graduate,43783,Yes,Yes,4.36,3.69,3.38
200,Male,15,Khulna,Private,5,77,Higher Secondary,44152,No,No,3.47,3.66,2.43
201,Male,15,Khulna,Public,17,78,Graduate,51513,No,Yes,3.17,4.53,2.23
202,Female,16,Barisal,Public,27,82,Graduate,39092,No,No,4.54,3.89,3.66
203,Male,18,Rangpur,Private,25,97,Graduate,27653,Yes,Yes,4.26,3.88,2.77
204,Male,16,Rangpur,Public,25,77,Secondary,42463,Yes,Yes,4.98,5,3.39
205,Female,15,Dhaka,Public,17,85,Higher Secondary,44028,Yes,Yes,3.69,3.78,2.65
206,Male,16,Dhaka,Private,6,65,Primary,50469,Yes,No,3.12,3.72,2.47
207,Female,15,Sylhet,Public,8,63,Primary,30947,No,Yes,4.47,3.65,2.83
208,Female,16,Rajshahi,Public,10,88,Higher Secondary,39978,Yes,Yes,4.04,4.37,3.35
209,Female,15,Chattogram,Private,27,93,Higher Secondary,32056,Yes,Yes,3.43,4.44,3.01
210,Male,15,Dhaka,Public,9,76,Higher Secondary,39007,No,Yes,4.56,4.05,2.97
211,Male,15,Khulna,Public,29,75,Secondary,53169,No,No,3.41,4.3,2.6
212,Male,18,Sylhet,Private,7,61,Primary,58287,No,Yes,3.52,4.68,2.61
213,Male,16,Chattogram,Private,5,93,Higher Secondary,54632,Yes,No,3.19,4.73,3.03
214,Male,16,Sylhet,Private,8,67,Secondary,58449,No,No,3.8,4.94,2.89
215,Male,16,Chattogram,Public,29,72,Primary,15543,No,No,3.84,4.74,3.49
216,Male,15,Chattogram,Private,24,67,Graduate,31067,Yes,No,4.03,4.35,2.92
217,Female,16,Barisal,Public,6,89,Secondary,55256,Yes,Yes,4.42,3.77,2.71
218,Male,16,Dhaka,Private,9,91,Primary,35097,No,No,4.81,3.65,3.1
219,Female,15,Mymensingh,Public,7,95,Secondary,52847,Yes,No,3.28,3.58,2.38
220,Male,17,Sylhet,Private,13,89,Primary,53512,No,No,3.11,4.5,3.01
221,Male,15,Mymensingh,Private,24,60,Primary,13809,No,No,3.04,4.71,2.88
222,Male,16,Sylhet,Private,10,98,Graduate,32191,Yes,Yes,3.29,4.26,3.4
223,Female,15,Barisal,Private,22,76,Secondary,31267,No,Yes,4.32,3.58,2.89
224,Female,17,Khulna,Public,10,79,Higher Secondary,17206,Yes,No,4.45,4.3,3.05
225,Female,15,Mymensingh,Private,23,83,Graduate,31057,Yes,No,4.57,4.9,3.3
226,Female,16,Khulna,Private,16,81,Graduate,38992,Yes,No,3.49,4.4,2.91
227,Male,17,Rangpur,Public,29,88,Primary,56514,No,Yes,3.61,4.71,3.58
228,Female,18,Dhaka,Private,15,81,Higher Secondary,25995,Yes,Yes,3.97,4.7,2.94
229,Male,16,Dhaka,Public,6,68,Secondary,58803,Yes,Yes,3.13,4.9,2.67
230,Male,17,Rajshahi,Private,19,96,Higher Secondary,54439,No,Yes,4.22,4.66,3.71
231,Female,17,Barisal,Private,16,69,Higher Secondary,23210,No,Yes,4.97,4.62,3.44
232,Female,18,Khulna,Private,16,95,Higher Secondary,27793,No,No,3.72,3.85,2.7
233,Female,15,Chattogram,Public,13,96,Higher Secondary,36270,No,Yes,4.51,3.59,3.39
234,Female,15,Sylhet,Private,25,87,Higher Secondary,15197,Yes,Yes,4,4.28,3.29
235,Female,16,Dhaka,Private,28,87,Primary,58321,Yes,No,3.26,3.69,2.91
236,Female,18,Mymensingh,Private,6,80,Primary,17452,Yes,Yes,4.16,4.94,3.62
237,Female,15,Sylhet,Public,26,83,Graduate,51486,No,Yes,3.6,3.93,3.34
238,Female,18,Sylhet,Public,7,99,Primary,24859,No,Yes,3.07,4.78,2.75
239,Male,15,Rajshahi,Private,16,61,Graduate,37236,Yes,No,4.27,4.08,2.75
240,Female,17,Khulna,Public,20,67,Graduate,41899,No,Yes,4.72,3.98,3.28
241,Female,15,Dhaka,Private,25,86,Secondary,42083,No,No,3.69,4.9,3.32
242,Male,18,Sylhet,Private,28,81,Higher Secondary,12172,Yes,No,3.78,4.04,2.41
243,Female,17,Dhaka,Private,5,96,Primary,55926,Yes,Yes,4.78,4.09,3.67
244,Male,17,Chattogram,Private,25,86,Secondary,26663,No,Yes,4.63,3.66,3.26
245,Male,17,Rajshahi,Private,7,88,Primary,37540,No,Yes,4.43,4.51,3.48
246,Female,18,Chattogram,Private,24,62,Graduate,29053,No,Yes,3.5,3.93,2.29
247,Male,16,Dhaka,Private,6,72,Primary,21085,Yes,No,4.82,4.38,3.64
248,Male,16,Rangpur,Public,13,69,Higher Secondary,40564,Yes,Yes,3.31,4.39,2.48
249,Male,16,Mymensingh,Public,23,95,Graduate,34209,Yes,No,4.25,4.58,3.46
250,Male,18,Dhaka,Public,19,68,Graduate,13981,Yes,No,3.06,4.62,2.28
251,Female,17,Khulna,Public,22,86,Secondary,31153,Yes,No,4.29,4.27,3.25
252,Male,16,Sylhet,Public,15,93,Higher Secondary,15247,No,No,3.55,4,2.76
253,Female,18,Sylhet,Public,29,60,Graduate,20553,No,No,3.9,4.76,3.2
254,Male,16,Chattogram,Public,27,91,Higher Secondary,30811,No,Yes,3.69,3.96,3.22
255,Male,15,Mymensingh,Private,20,84,Primary,39845,Yes,No,3.35,4.26,2.9
256,Male,16,Rajshahi,Private,26,88,Higher Secondary,16135,Yes,No,4.24,4.1,3.64
257,Male,16,Rangpur,Private,21,66,Graduate,15573,Yes,Yes,4.76,4.78,3.36
258,Female,17,Barisal,Private,9,62,Secondary,23731,No,Yes,4.92,4.15,2.76
259,Female,18,Mymensingh,Public,16,79,Graduate,17189,Yes,No,3.38,4.08,2.71
260,Male,17,Sylhet,Public,15,79,Higher Secondary,24541,Yes,No,4.43,4.53,3.52
261,Male,17,Khulna,Private,19,89,Higher Secondary,53646,No,Yes,4.33,4.4,3.78
262,Female,17,Mymensingh,Private,7,94,Graduate,21087,Yes,No,3.69,3.66,2.92
263,Male,17,Chattogram,Public,5,94,Higher Secondary,56435,No,Yes,3.04,4.26,2
264,Male,17,Chattogram,Private,24,98,Primary,12776,Yes,Yes,4.38,4.6,3.73
265,Male,16,Barisal,Private,20,86,Graduate,52079,Yes,No,4.89,4.99,4.31
266,Female,17,Khulna,Private,6,85,Secondary,37564,No,Yes,4.26,4.44,3.11
267,Female,17,Rajshahi,Private,6,73,Graduate,38835,No,No,3.87,4.06,2.51
268,Female,18,Mymensingh,Public,7,76,Primary,17697,No,No,4.05,3.84,2.82
269,Male,15,Khulna,Private,12,77,Primary,24629,No,No,3.4,4.81,2.76
270,Male,16,Rajshahi,Private,28,88,Primary,18386,No,Yes,4.5,4.72,3.91
271,Female,16,Khulna,Public,19,79,Primary,27046,No,No,4.49,3.85,3.11
272,Female,16,Khulna,Public,11,86,Primary,18044,Yes,Yes,3.29,3.8,3.02
273,Female,17,Dhaka,Private,10,77,Secondary,19615,Yes,No,4.76,4.57,3.52
274,Female,17,Chattogram,Public,13,63,Higher Secondary,57802,No,No,3.54,3.97,2.31
275,Male,17,Mymensingh,Private,24,60,Primary,15060,Yes,Yes,4.96,3.96,3.5
276,Female,18,Khulna,Private,5,60,Primary,20900,No,No,3.77,3.73,2.73
277,Male,15,Mymensingh,Public,12,85,Graduate,15581,Yes,No,3.36,3.9,2.41
278,Female,17,Barisal,Private,27,79,Secondary,44782,No,Yes,3.7,4.14,2.9
279,Male,15,Khulna,Private,27,82,Secondary,30173,Yes,Yes,3.88,4.6,2.52
280,Female,18,Sylhet,Private,7,69,Higher Secondary,22997,Yes,Yes,3.14,4,2.67
281,Female,16,Chattogram,Private,8,70,Secondary,53403,Yes,No,4.16,3.99,2.58
282,Female,17,Sylhet,Public,29,64,Graduate,56416,Yes,Yes,4.2,3.93,2.34
283,Female,15,Mymensingh,Public,19,60,Graduate,17148,Yes,Yes,4.48,4.22,2.49
284,Male,15,Mymensingh,Private,10,76,Higher Secondary,28748,No,No,3.06,3.77,2.26
285,Female,17,Chattogram,Public,19,81,Graduate,24022,No,Yes,4.08,4.23,3.39
286,Male,16,Mymensingh,Private,25,93,Primary,30013,No,No,3.11,4.56,3.02
287,Male,16,Sylhet,Private,7,88,Primary,48687,Yes,No,4.4,3.54,2.99
288,Male,16,Khulna,Private,29,63,Graduate,25886,No,Yes,3.11,3.51,2.09
289,Male,18,Khulna,Private,25,64,Higher Secondary,35256,Yes,No,4.82,3.61,2.67
290,Female,15,Dhaka,Private,25,70,Secondary,40005,Yes,Yes,4.4,4.3,3.6
291,Male,15,Barisal,Public,18,80,Higher Secondary,16638,Yes,Yes,4.01,4.78,3.46
292,Male,15,Mymensingh,Private,24,94,Secondary,47419,No,Yes,3.88,3.51,2.92
293,Male,18,Sylhet,Public,18,71,Graduate,43377,Yes,Yes,3.26,4.9,3.41
294,Female,15,Mymensingh,Public,8,85,Graduate,50708,No,No,3.58,3.66,2.21
295,Female,18,Mymensingh,Private,16,78,Primary,53116,No,No,4.74,4.76,3.37
296,Female,16,Rajshahi,Private,21,66,Secondary,46634,Yes,Yes,4.81,4.22,3.68
297,Female,17,Dhaka,Private,11,66,Higher Secondary,26755,Yes,Yes,3,4.49,3.19
